Comment,Designator,Footprint,JLCPCB Part #?optional?
SW_SPDT,SW1,SW_SPDT_CK-JS102011SAQN,
USB_OTG,J1,USB_Micro-B_Wuerth_629105150521,
22uF,"C14,C15",C_0805_2012Metric,
RED,D2,LED_0805_2012Metric,
100nF,"C7,C4 ,C6,C3,C8",C_0805_2012Metric,
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
1uF,"C11,C10",C_0805_2012Metric,
10pF,"C5,C2",C_0805_2012Metric,
1K,"R5,R3",R_0805_2012Metric,
STM32F411CEU6,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,STM32F411CEU6
10K,"R1,R6",R_0805_2012Metric,
10nF,C9,C_0805_2012Metric,
GREEN,D1,LED_0805_2012Metric,
10uF,C1,C_0805_2012Metric,
AMS1117-3.3,U3,SOT-223-3_TabPin2,
2K2,"R2,R4",R_0805_2012Metric,
120R,FB1,L_0805_2012Metric,
